id,zone,year,multi,height,day,depth
B1,B,2002,yes,2.7,8,0.33
B10,B,2001,yes,2,25,0.25
B111,B,2002,no,2,10,0.2
B112,B,2002,no,1.9,6,0.25
B115,B,2001,no,2.1,28,0.33
B116,B,2001,no,2.5,23,0.4
B118,B,2002,no,1.9,10,0.2
B121,B,2002,yes,2.2,10,0.2
B123,B,2002,no,2.4,11,0.2
B126,B,2002,yes,2.3,7,0.33
B13,B,2002,yes,2.6,18,0.5
B141,B,2002,yes,1.5,19,0.33
B142A,B,2002,no,2.7,11,0.33
B143,B,2001,yes,2,32,0.25
B148,B,2002,yes,2.6,7,0.25
B149,B,2001,yes,2.8,27,0.33
B15,B,2002,yes,2.8,4,0.25
B153,B,2001,yes,3,23,0.25
B156,B,2002,no,2.7,17,0.5
B157,B,2001,no,1.8,28,0.33
B157,B,2002,yes,1.8,5,0.4
B158,B,2002,yes,1.7,19,0.33
B16,B,2002,no,2.3,8,0.2
B162,B,2002,no,2,16,0.25
B166,B,2001,no,2,24,0.25
B173,B,2002,no,2.5,5,0.2
B176,B,2002,yes,2.4,8,0.2
B178,B,2002,yes,2.2,8,0.33
B181,B,2002,no,1.9,10,0.25
B185,B,2002,yes,2.4,10,0.4
B187,B,2003,no,2.4,10,0.2
B195,B,2002,no,2.2,7,0.25
B196,B,2001,no,2.6,33,0.5
B2,B,2002,no,1.8,12,0.2
B20,B,2001,no,2,29,0.33
B204,B,2001,no,2.4,30,0.25
B211,B,2002,yes,1.9,7,0.25
B213,B,2002,yes,2.6,8,0.25
B218,B,2001,no,2.3,32,0.25
B222,B,2002,no,1.8,13,0.4
B223,B,2001,yes,2.6,32,0.33
B223,B,2002,yes,2.4,10,0.25
B228,B,2001,yes,2.6,24,0.25
B229,B,2002,no,1.9,14,0.5
B25,B,2001,no,2.3,33,0.25
B26,B,2001,yes,2,23,0.4
B33,B,2002,yes,1.9,12,0.4
B37,B,2002,no,1.9,18,0.33
B40,B,2001,yes,2.2,24,0.25
B40,B,2002,yes,1.9,17,0.2
B46,B,2002,no,2.1,12,0.25
B56,B,2003,yes,2.7,12,0.33
B57,B,2002,no,2.2,9,0.25
B60,B,2001,no,2.2,30,0.4
B60,B,2002,no,2.2,13,0.2
B62A,B,2002,yes,2.6,11,0.25
B63,B,2002,yes,2.6,12,0.25
B66,B,2002,yes,1.9,10,0.2
B67,B,2002,no,2.6,17,0.4
B70,B,2002,no,2.7,13,0.6
B76,B,2001,no,2.8,31,0.33
B78,B,2001,yes,2.6,27,0.5
B8,B,2002,no,2,11,0.25
B80,B,2001,no,1.9,33,0.25
B84,B,2001,yes,2.4,28,0.33
B87,B,2002,no,2.4,14,0.4
B90,B,2002,no,2,4,0.2
B93,B,2002,no,2.1,8,0.33
B96,B,2002,no,2.5,4,0.4
B99A,B,2002,no,2.2,6,0.4
C104,C,2002,no,2.2,7,0.4
C107,C,2001,no,2.8,26,0.5
C111,C,2001,no,2.2,16,0.5
C116,C,2002,yes,2.7,2,0.4
C12,C,2002,yes,2.5,7,0.5
C122,C,2002,no,2.3,10,0.4
C129,C,2002,yes,2.3,8,0.2
C132,C,2002,no,1.7,2,0.4
C135,C,2003,no,2.5,13,0.4
C136,C,2003,no,2.6,13,0.4
C137,C,2001,no,2.3,30,0.25
C137,C,2002,no,2.4,7,0.4
C14,C,2002,no,2.4,10,0.25
C146,C,2002,no,2,13,0.2
C152,C,2002,no,2.7,8,0.5
C155,C,2001,no,2.5,23,0.5
C155,C,2002,yes,2.5,13,0.4
C158,C,2001,no,2.5,27,0.5
C16,C,2001,yes,2.5,22,0.33
C160A,C,2001,yes,2,24,0.4
C160A,C,2002,yes,1.9,8,0.4
C163,C,2002,no,2.3,5,0.2
C163,C,2003,no,2.1,15,0.2
C17,C,2001,no,2.5,28,0.25
C19,C,2002,yes,2.8,5,0.4
C24,C,2002,no,2,5,0.2
C24A,C,2002,yes,2.4,10,0.5
C24A,C,2003,no,2.5,8,0.5
C25,C,2001,no,2,25,0.5
C25,C,2002,yes,1.9,8,0.33
C26,C,2002,yes,1.9,6,0.25
C28,C,2003,no,2.7,12,0.5
C29,C,2002,yes,1.9,3,0.4
C31,C,2002,yes,1.9,6,0.5
C33,C,2002,no,2.3,9,0.2
C34,C,2003,no,2,12,0.4
C34A,C,2003,yes,2.3,11,0.33
C36,C,2002,yes,2.2,7,0.2
C39,C,2002,yes,1.9,6,0.4
C39,C,2003,no,2.1,10,0.33
C4,C,2003,no,2.3,10,0.33
C42,C,2003,yes,2.1,10,0.5
C43,C,2002,yes,2,5,0.5
C44,C,2002,yes,1.9,12,0.4
C45,C,2001,no,2,15,0.25
C49,C,2001,no,2.5,27,0.4
C5,C,2002,yes,2.4,7,0.4
C52,C,2003,no,2.3,9,0.5
C55,C,2003,no,2.7,10,0.33
C56,C,2003,yes,2.2,9,0.5
C58,C,2002,no,1.9,6,0.2
C6,C,2002,no,2,6,0.4
C60,C,2002,yes,1.8,10,0.5
C61,C,2001,no,2.6,27,0.33
CP10,CP,2002,no,2.2,10,0.4
CP11,CP,2001,yes,2.1,27,0.25
CP11,CP,2002,no,2,8,0.5
CP13,CP,2002,yes,2.1,2,0.2
CP14A,CP,2003,yes,2.5,9,0.2
CP18,CP,2002,yes,2.4,9,0.2
CP19,CP,2001,no,2.2,28,0.5
CP2,CP,2001,no,2,31,0.2
CP20,CP,2001,yes,2.3,25,0.25
CP21,CP,2001,no,2,28,0.33
CP21,CP,2002,no,2,18,0.5
CP22,CP,2002,no,2.1,12,0.2
CP23,CP,2002,yes,2.4,9,0.2
CP24,CP,2001,no,2.3,28,0.25
CP28,CP,2002,no,2.6,9,0.25
CP29,CP,2001,yes,2.6,31,0.25
CP29,CP,2002,yes,2.5,11,0.2
CP37,CP,2002,no,2.6,9,0.25
CP43,CP,2001,no,2,29,0.25
CP5,CP,2001,no,1.5,23,0.25
CP5A,CP,2002,no,2.2,12,0.4
CP7,CP,2002,no,2.2,12,0.2
E10,E,2002,yes,2.3,6,0.25
E11,E,2001,no,2.3,26,0.33
E11,E,2002,no,2.3,9,0.2
E13A,E,2001,no,2.4,27,0.25
E14,E,2003,no,2.3,9,0.25
E14A,E,2001,no,2,25,0.25
E15,E,2001,yes,2.5,23,0.25
E16,E,2001,no,2.5,25,0.33
E17,E,2001,no,1.9,28,0.33
E17,E,2002,yes,1.8,13,0.2
E18,E,2001,no,2.2,28,0.33
E19,E,2001,no,2,33,0.25
E19,E,2002,no,2.2,9,0.4
E19A,E,2002,no,2.5,8,0.25
E22,E,2001,yes,2.7,29,0.75
E22,E,2002,yes,2.7,7,0.4
E27,E,2002,yes,1.7,13,0.2
E29,E,2001,no,2.4,28,0.25
E3,E,2002,yes,1.9,7,0.2
E30,E,2001,no,2.4,29,0.33
E30,E,2002,no,2.4,10,0.25
E31A,E,2002,no,1.9,8,0.5
E34,E,2001,yes,2.2,29,0.4
E34,E,2002,yes,2.2,11,0.4
E34A,E,2002,yes,2.2,5,0.33
E34A,E,2003,yes,2.2,12,0.25
E35,E,2002,no,2.7,4,0.25
E39,E,2002,no,2.8,16,0.25
E39C,E,2002,no,2.5,18,0.33
E41A,E,2002,no,1.8,8,0.33
E41B,E,2002,no,1.8,7,0.33
E42,E,2002,no,1.8,5,0.2
E43A,E,2001,no,1.8,29,0.25
E43C,E,2001,no,2,33,0.4
E43E,E,2001,no,2.2,28,0.25
E46,E,2001,no,2,23,0.2
E46,E,2002,yes,1.8,10,0.2
E47A,E,2002,no,2.5,8,0.25
E48A,E,2001,yes,2.7,31,0.25
E49C,E,2002,yes,2,8,0.33
E50,E,2002,yes,2.5,18,0.33
E51,E,2002,no,1.8,7,0.4
E51B,E,2002,yes,1.9,7,0.4
E55,E,2002,no,2.2,19,0.25
E59,E,2001,no,1.8,28,0.4
E5A,E,2001,no,2,24,0.33
E6,E,2001,no,2.2,30,0.25
E62,E,2002,no,1.6,10,0.25
E62A,E,2002,no,2.8,17,0.33
E69,E,2001,no,2.4,26,0.5
E69,E,2002,no,2.6,15,0.25
E7,E,2001,no,2.1,30,0.25
E7,E,2002,no,2.1,5,0.25
E72,E,2002,yes,2.4,14,0.25
E72A,E,2001,no,1.8,29,0.25
E75,E,2002,no,2.4,14,0.2
E79,E,2001,no,2.2,32,0.33
E79,E,2002,no,2.3,11,0.25
E86,E,2002,no,1.9,9,0.25
E8A,E,2002,no,1.9,5,0.25
E9,E,2001,yes,2.5,29,0.4
E9,E,2002,yes,2.4,8,0.2
E90,E,2001,no,1.8,29,0.25
E91,E,2002,yes,1.9,9,0.2
MP10,MP,2001,yes,2.5,30,0.5
MP10,MP,2002,yes,2.7,7,0.5
MP14,MP,2002,no,2.7,6,0.5
MP15,MP,2001,no,2.5,37,0.25
MP16,MP,2002,yes,2.7,6,0.25
MP16,MP,2003,yes,2.8,8,0.25
MP22,MP,2002,yes,2.4,8,0.17
MP36,MP,2001,no,2,21,0.25
MP38,MP,2001,yes,2.1,32,0.25
MP39,MP,2002,no,1.8,11,0.2
MP40,MP,2002,yes,2.5,12,0.2
MP42,MP,2002,no,2.6,7,0.4
MP48,MP,2001,no,2,30,0.33
MP5,MP,2001,no,2.7,33,0.25
MP51,MP,2002,no,1.9,8,0.4
MP53,MP,2002,no,2.3,5,0.5
MP54,MP,2003,no,2.3,10,0.33
MP57,MP,2002,no,2,6,0.2
MP58,MP,2002,yes,2.2,6,0.2
MP58,MP,2003,yes,2.5,9,0.2
MP61,MP,2002,no,1.9,14,0.25
MP66,MP,2002,no,2,17,0.33
MP67,MP,2003,no,2,10,0.25
MP72,MP,2001,yes,2.5,25,0.25
MP72,MP,2002,yes,2,9,0.2
MP76,MP,2001,no,2.7,31,0.4
MP79,MP,2001,no,2.2,25,0.25
MP8,MP,2002,no,2,8,0.17
MP80,MP,2001,no,2.7,25,0.25
MP84,MP,2001,yes,2.6,29,0.25
MP84,MP,2002,yes,2.2,18,0.33
MP85,MP,2001,yes,2.1,30,0.25
MP87,MP,2002,no,1.8,20,0.25
MP87,MP,2003,no,1.9,11,0.2
MP88,MP,2002,no,2.1,7,0.4
MP91,MP,2002,no,1.9,14,0.25
MP92,MP,2001,no,1.8,24,0.4
MP93,MP,2003,no,1.7,11,0.25
MP95,MP,2002,no,1.7,5,0.4
O1,O,2002,no,2.3,7,0.25
O10,O,2002,no,2.5,4,0.5
O10,O,2003,no,2.6,13,0.5
O101,O,2001,yes,2.3,26,0.25
O103,O,2002,no,1.7,8,0.25
O106,O,2003,no,2.4,13,0.5
O107,O,2001,no,2.3,29,0.33
O108,O,2002,yes,2.4,15,0.4
O109,O,2002,no,2.2,11,0.4
O11,O,2002,yes,2,8,0.25
O112,O,2001,no,1.9,33,0.4
O112,O,2002,no,1.9,10,0.25
O113,O,2001,no,1.9,25,0.5
O114,O,2002,no,2,10,0.2
O116,O,2002,no,1.8,10,0.25
O117,O,2002,no,1.6,8,0.17
O118,O,2002,no,1.8,13,0.4
O12,O,2001,yes,2.5,24,0.4
O13A,O,2003,no,2.2,11,0.5
O14,O,2002,yes,1.9,6,0.33
O16,O,2001,yes,2,26,0.33
O16,O,2002,yes,1.9,10,0.2
O17,O,2002,yes,2.8,18,0.33
O18,O,2002,yes,0.6,2,0.33
O19,O,2001,no,2.1,32,0.25
O19,O,2003,no,2.3,9,0.25
O21,O,2002,yes,2,7,0.2
O24,O,2002,yes,1.9,6,0.5
O24,O,2003,no,2.1,11,0.5
O26,O,2002,no,2.4,9,0.4
O28,O,2002,yes,2,6,0.33
O3,O,2002,no,1.9,20,0.33
O31,O,2002,no,1.9,4,0.5
O32,O,2002,yes,1.6,3,0.33
O34,O,2003,no,2.6,11,0.5
O37,O,2002,no,1.9,9,0.25
O38B,O,2002,no,1.9,8,0.4
O39,O,2001,no,2.1,32,0.5
O39,O,2002,no,1.9,9,0.4
O49,O,2002,yes,1.9,8,0.33
O49,O,2003,no,2.2,10,0.33
O54,O,2003,no,1.6,8,0.33
O56,O,2002,yes,2.9,6,0.5
O56,O,2003,no,2.8,11,0.5
O61,O,2001,no,1.6,26,0.33
O62,O,2001,no,1.7,32,0.33
O62,O,2002,no,1.7,5,0.4
O63,O,2002,yes,2.4,8,0.4
O64,O,2002,yes,2.1,5,0.4
O64,O,2003,no,2.4,12,0.5
O68,O,2003,no,2.2,12,0.4
O71,O,2001,no,3,23,0.33
O75,O,2002,yes,2.2,18,0.33
O75,O,2003,no,2.6,13,0.5
O75A,O,2002,yes,1.7,15,0.4
O75B,O,2002,yes,1.5,10,0.4
O75D,O,2001,yes,2,25,0.4
O77,O,2002,no,1.9,10,0.2
O78A,O,2002,yes,2.4,9,0.4
O80,O,2001,yes,2,26,0.5
O82,O,2001,no,2.5,23,0.33
O84,O,2001,yes,2,24,0.4
O85,O,2002,yes,2,5,0.4
O9,O,2002,no,1.9,8,0.6
O96,O,2002,yes,2.1,9,0.25
P10,P,2001,no,2,23,0.4
P10,P,2002,no,2,9,0.2
P16,P,2002,no,2.2,9,0.5
P17,P,2001,yes,2.7,28,0.33
P17,P,2002,yes,2.4,7,0.4
P2,P,2002,yes,2,9,0.4
P20,P,2002,no,1.9,10,0.4
P24,P,2001,no,2.3,28,0.33
P3,P,2001,yes,2.4,29,0.5
P3,P,2002,no,2.4,10,0.2
P5,P,2002,no,1.5,11,0.33
P6,P,2001,no,2.6,33,0.25
P8,P,2001,no,2.3,27,0.25
P9,P,2002,no,1.8,8,0.25
SW10,SW,2001,yes,2.5,31,0.25
SW104A,SW,2003,no,1.9,10,0.25
SW110,SW,2001,no,2,23,0.25
SW113,SW,2002,no,1.7,13,0.17
SW116,SW,2002,no,2.6,18,0.25
SW12,SW,2001,no,2.8,27,0.4
SW120,SW,2002,no,2.3,6,0.6
SW123,SW,2001,no,2.8,30,0.25
SW128,SW,2002,yes,2.6,11,0.25
SW13,SW,2001,yes,2.6,26,0.25
SW132,SW,2001,no,2.7,31,0.33
SW132,SW,2002,no,2.5,9,0.25
SW133,SW,2002,no,1.9,11,0.33
SW15,SW,2002,no,1.8,10,0.25
SW2,SW,2001,yes,1.6,32,0.25
SW24,SW,2001,no,2.5,31,0.33
SW39,SW,2002,no,1.9,11,0.4
SW4,SW,2002,no,1.8,8,0.4
SW44,SW,2001,no,1.9,32,0.4
SW64,SW,2002,no,2.4,14,0.2
SW65,SW,2001,no,2.4,30,0.25
SW7,SW,2001,no,1.9,33,0.25
SW7,SW,2002,yes,1.8,13,0.25
SW75,SW,2001,yes,2.7,27,0.4
SW75,SW,2002,yes,2.5,10,0.4
SW76,SW,2001,no,2.2,28,0.25
SW76,SW,2002,no,2,8,0.25
SW77,SW,2002,yes,2.6,11,0.33
SW79,SW,2003,yes,2.7,10,0.4
SW8,SW,2002,no,3.5,14,0.25
SW84,SW,2002,yes,2.2,7,0.4
SW84a,SW,2001,yes,2.3,26,0.4
SW85,SW,2001,no,2.3,31,0.4
SW85,SW,2002,no,2,9,0.2
SW87,SW,2002,yes,1.8,16,0.2
SW88,SW,2002,no,2.2,5,0.4
SW89,SW,2003,no,2.4,10,0.25
W1,W,2001,yes,2.2,28,0.25
W1,W,2002,yes,2.1,7,0.2
W100,W,2002,no,2.3,8,0.25
W101,W,2002,yes,2.1,20,0.25
W103,W,2001,no,1.8,26,0.5
W103,W,2002,yes,1.8,7,0.33
W103A,W,2002,no,1.7,7,0.2
W104,W,2002,yes,1.9,15,0.25
W104,W,2003,yes,2.2,12,0.4
W105,W,2001,yes,2.4,25,0.33
W105,W,2002,yes,2.2,4,0.4
W11,W,2001,no,2.2,29,0.4
W15,W,2001,yes,2,25,0.25
W16,W,2002,no,2.5,11,0.4
W17,W,2003,no,2.1,10,0.33
W2,W,2002,yes,2.1,5,0.5
W2,W,2003,yes,2.1,11,0.5
W20,W,2002,no,2.4,11,0.4
W28,W,2001,yes,2.2,26,0.25
W29,W,2002,no,2,7,0.4
W31,W,2001,no,2.3,25,0.25
W32,W,2002,no,1.7,6,0.4
W33,W,2001,yes,2.3,26,0.4
W33,W,2002,yes,2.3,7,0.33
W34,W,2002,no,2.2,7,0.4
W35,W,2002,no,2,4,0.33
W36,W,2002,no,2.2,2,0.5
W41,W,2002,no,2.9,6,0.33
W46,W,2002,yes,1.8,8,0.4
W4A,W,2003,no,2.1,18,0.25
W50,W,2002,no,2.6,8,0.33
W51A,W,2001,no,2.3,28,0.33
W52,W,2001,no,2,23,0.25
W53,W,2003,no,2.5,8,0.5
W54,W,2002,yes,2.3,8,0.33
W56,W,2001,yes,2.1,25,0.5
W60,W,2002,no,1.7,5,0.25
W62,W,2001,no,2,27,0.5
W62,W,2002,no,2,8,0.4
W64A,W,2003,no,2.5,10,0.5
W64B,W,2003,yes,2.4,10,0.33
W67,W,2003,no,2,8,0.25
W68,W,2002,no,2.7,6,0.4
W71,W,2002,yes,1.6,5,0.4
W72,W,2002,no,2.9,12,0.25
W76,W,2002,yes,2.1,8,0.2
W77,W,2001,yes,2.3,26,0.33
W79,W,2002,no,2.3,5,0.25
W8,W,2001,yes,2.1,31,0.25
W8,W,2002,yes,2.3,10,0.4
W80,W,2002,no,1.9,8,0.33
W83,W,2002,no,2.3,3,0.2
W84,W,2001,no,1.8,26,0.33
W84,W,2002,no,1.8,7,0.33
W85,W,2002,no,2.2,3,0.33
W85,W,2003,no,2.2,13,0.5
W89,W,2002,no,1.8,10,0.25
W95,W,2001,no,2,24,0.5
W98,W,2002,no,2,2,0.33
O203,O,2003,no,1.8,13,0.4
O204,O,2003,no,1.8,9,0.17
O206,O,2003,no,2,8,0.25
O207,O,2003,no,1.9,10,0.33
O210,O,2003,no,2,9,0.25
O215,O,2003,no,1.7,13,0.4
O219,O,2003,no,2,3,0.4
O221,O,2003,no,1.8,9,0.25
O223,O,2003,no,1.8,8,0.4
O227,O,2003,no,1.6,12,0.5
O234,O,2003,no,1.9,11,0.5
O242,O,2003,no,1.6,13,0.2
O255,O,2003,yes,1.6,10,0.25
O258,O,2003,yes,1.7,12,0.25