season,length,detritus
early,20.5,22.4
early,18.3,16.4
early,16.9,21.5
early,12.3,10.7
early,10.3,16.9
early,8.7,19.3
early,18,23.2
early,17,24.8
early,16.6,12.5
early,13.1,10
early,11.7,16.4
early,11.4,22.9
early,10.8,3
early,10.4,12.9
early,17.2,53.5
early,15.6,22.7
early,11.5,9.6
early,11.7,13.7
early,11,12.2
early,10.8,11.6
early,10.4,7.2
early,8.7,17.9
early,17.7,51.3
early,16.9,35.2
early,12.3,17.2
early,10.7,2.5
early,10.6,5.7
early,10.1,0
early,9.6,0
early,9.4,3
early,18.8,39.8
early,17.3,23.2
early,16.4,21
early,11.4,12
early,11.6,15.5
early,10.6,10.5
early,10.5,0
early,14.7,13.1
early,15.8,17.3
early,12.3,18.1
early,9.8,0
early,16.2,29.9
early,16.3,18
early,16.6,14.8
early,11.9,10.6
early,11.9,11.3
early,11.2,6.7
early,10.7,8.8
early,10.5,9
early,18.5,17.8
early,17.1,39.2
early,16.3,18.1
early,11.6,0
early,12.6,8.8
early,11.6,14.1
late,12.5,30
late,10.1,53.9
late,18,51.1
late,10.4,50.3
late,10.5,25.6
late,14.8,35.3
late,10.5,36.6
late,11.1,50
late,10.9,53.2
late,11.9,20
late,18.7,42.7
late,19.6,38.4
late,10.4,18.2
late,11.2,22.4
late,10.9,46.5
late,10.7,52.2
late,10.2,42.6
late,10.6,51.4
late,11.4,43.1
late,9.6,52.7
late,9.2,28.4
late,18,18
late,10.7,14.8
late,10.9,16.5
late,11.2,18.9
late,11.2,30
late,8.9,21
late,15.6,36.4
late,10.8,16.4
late,11.1,31.6
late,10.5,9.7
late,11.2,39.9
late,10.4,12.9